win_idx,win_start,packet_count,tcp_count,udp_count,icmp_count,syn_count,ack_count,fin_count,psh_count,rst_count,total_bytes,avg_packet_size,mean_time_diff,std_time_diff,unique_src,unique_dst,unique_src_ports,unique_dst_ports,src_entropy,dst_entropy,syn_ratio,tcp_ratio,avg_bytes_per_packet
0,0.0,12,10,0,2,2,9,2,2,0,2960,246.66666666666666,0.03491773166666667,0.09296122053911454,2,2,2,2,0.4505612088643047,0.4505612088643047,0.16666666666666666,0.8333333333333334,246.66666666666666
1,1.0,2,0,0,2,0,0,0,0,0,236,118.0,0.30262529200000005,0.302613419,1,1,0,0,-1.000088900581841e-12,-1.000088900581841e-12,0.0,0.0,118.0
2,2.0,2,0,0,2,0,0,0,0,0,236,118.0,0.5119428119999999,0.5119330730000001,1,1,0,0,-1.000088900581841e-12,-1.000088900581841e-12,0.0,0.0,118.0
3,3.0,12,10,0,2,2,9,2,2,0,2960,246.66666666666666,0.11033997516666667,0.28498005382235236,2,2,2,2,0.4505612088643047,0.4505612088643047,0.16666666666666666,0.8333333333333334,246.66666666666666
4,4.0,2,0,0,2,0,0,0,0,0,236,118.0,0.3620605000000001,0.3620481059999996,1,1,0,0,-1.000088900581841e-12,-1.000088900581841e-12,0.0,0.0,118.0
5,5.0,2,0,0,2,0,0,0,0,0,236,118.0,0.5118255184999998,0.5118152295000002,1,1,0,0,-1.000088900581841e-12,-1.000088900581841e-12,0.0,0.0,118.0
6,6.0,12,10,0,2,2,9,2,2,0,2960,246.66666666666666,0.10561908149999999,0.28223402069470654,2,2,2,2,0.4505612088643047,0.4505612088643047,0.16666666666666666,0.8333333333333334,246.66666666666666
7,7.0,2,0,0,2,0,0,0,0,0,236,118.0,0.39032491049999996,0.3903156625000004,1,1,0,0,-1.000088900581841e-12,-1.000088900581841e-12,0.0,0.0,118.0
8,8.0,2,0,0,2,0,0,0,0,0,236,118.0,0.5124754485,0.512466400500001,1,1,0,0,-1.000088900581841e-12,-1.000088900581841e-12,0.0,0.0,118.0
9,9.0,12,10,0,2,2,9,2,2,0,2960,246.66666666666666,0.10166844774999999,0.2802256374990247,2,2,2,2,0.4505612088643047,0.4505612088643047,0.16666666666666666,0.8333333333333334,246.66666666666666
10,10.0,2,0,0,2,0,0,0,0,0,236,118.0,0.41357308850000063,0.4135596134999995,1,1,0,0,-1.000088900581841e-12,-1.000088900581841e-12,0.0,0.0,118.0
11,11.0,2,0,0,2,0,0,0,0,0,236,118.0,0.5122629414999995,0.5122541045000002,1,1,0,0,-1.000088900581841e-12,-1.000088900581841e-12,0.0,0.0,118.0
12,12.0,295,293,0,2,16,285,2,152,0,725734,2460.1152542372884,0.005876296447457625,0.06383162258595801,2,2,9,9,0.040613089208597436,0.040613089208597436,0.05423728813559322,0.9932203389830508,2460.1152542372884
13,13.0,544,542,0,2,14,535,0,289,3,1357944,2496.220588235294,0.001836071422794118,0.0070860274846739615,2,2,15,15,0.024279270491060035,0.024279270491060035,0.025735294117647058,0.9963235294117647,2496.220588235294
14,14.0,513,511,0,2,16,499,0,255,9,1196402,2332.167641325536,0.0019144517290448355,0.008233907861320302,2,2,20,18,0.025517258511434555,0.025517258511434555,0.031189083820662766,0.9961013645224172,2332.167641325536
15,15.0,593,591,0,2,22,574,0,297,10,1516586,2557.4806070826307,0.0017179197453625619,0.007387101576110017,2,2,22,22,0.022564448492987034,0.022564448492987034,0.03709949409780776,0.9966273187183811,2557.4806070826307
16,16.0,576,574,0,2,20,560,0,291,8,1493968,2593.6944444444443,0.0016756273611111107,0.0064189899566371176,2,2,21,21,0.02312924429015685,0.02312924429015685,0.034722222222222224,0.9965277777777778,2593.6944444444443
17,17.0,576,574,0,2,20,555,2,290,9,1486740,2581.1458333333335,0.0017977517777777823,0.008125957927293447,2,2,24,23,0.02312924429015685,0.02312924429015685,0.034722222222222224,0.9965277777777778,2581.1458333333335
18,18.0,627,625,0,2,22,604,0,327,10,1438666,2294.52312599681,0.0015800429808612393,0.006398939055648872,2,2,25,24,0.02151898808487472,0.02151898808487472,0.03508771929824561,0.9968102073365231,2294.52312599681
19,19.0,580,578,0,2,20,557,2,292,11,1495172,2577.88275862069,0.0017395522637931036,0.006250548962314939,2,2,25,25,0.022993637238889073,0.022993637238889073,0.034482758620689655,0.996551724137931,2577.88275862069
20,20.0,588,586,0,2,20,566,0,312,10,1466196,2493.530612244898,0.0016999038588435416,0.0066345202052257215,2,2,23,23,0.02272747331627102,0.02272747331627102,0.034013605442176874,0.9965986394557823,2493.530612244898
21,21.0,585,583,0,2,22,563,0,294,11,1503734,2570.4854700854703,0.0016584874786324784,0.005534432804211141,2,2,24,24,0.02282650705300702,0.02282650705300702,0.037606837606837605,0.9965811965811966,2570.4854700854703
22,22.0,590,588,0,2,20,571,2,295,11,1508168,2556.2169491525424,0.0016978091694915222,0.00627318876919572,2,2,23,23,0.02266196109181168,0.02266196109181168,0.03389830508474576,0.9966101694915255,2556.2169491525424
23,23.0,591,589,0,2,20,577,0,296,9,1515462,2564.233502538071,0.0017315341302876466,0.006101892663669409,2,2,21,21,0.02262935660561356,0.02262935660561356,0.0338409475465313,0.9966159052453468,2564.233502538071
24,24.0,584,582,0,2,22,566,0,293,10,1499620,2567.8424657534247,0.0017090453784246618,0.006015400368056889,2,2,23,23,0.022859724365924518,0.022859724365924518,0.03767123287671233,0.9965753424657534,2567.8424657534247
25,25.0,591,589,0,2,20,574,2,295,10,1508246,2552.0236886632824,0.0016953170693739428,0.00527734004389687,2,2,23,23,0.02262935660561356,0.02262935660561356,0.0338409475465313,0.9966159052453468,2552.0236886632824
26,26.0,583,581,0,2,20,565,0,294,10,1483334,2544.31217838765,0.001725934164665522,0.00567666743303872,2,2,22,22,0.0228930455387491,0.0228930455387491,0.03430531732418525,0.9965694682675815,2544.31217838765
27,27.0,575,573,0,2,22,555,0,289,9,1430010,2486.973913043478,0.0017318751269565186,0.006006813279594659,2,2,23,23,0.023163414641149363,0.023163414641149363,0.03826086956521739,0.9965217391304347,2486.973913043478
28,28.0,577,575,0,2,20,559,2,292,9,1461666,2533.2166377816293,0.0017226688804159497,0.006085246893436808,2,2,24,24,0.023095181896747054,0.023095181896747054,0.03466204506065858,0.9965337954939342,2533.2166377816293
29,29.0,592,590,0,2,20,571,0,311,9,1505396,2542.8986486486488,0.0016829763209459422,0.007199311405103259,2,2,24,24,0.022596852564469715,0.022596852564469715,0.033783783783783786,0.9966216216216216,2542.8986486486488
30,30.0,473,471,0,2,18,452,0,234,10,1078354,2279.818181818182,0.002138805289640592,0.007987306312694497,2,2,24,24,0.027331209540984516,0.027331209540984516,0.03805496828752643,0.9957716701902748,2279.818181818182
31,31.0,527,525,0,2,18,508,2,262,8,1451758,2754.7590132827327,0.0018745689772296007,0.0068461871062994,2,2,23,22,0.02494175874482276,0.02494175874482276,0.03415559772296015,0.9962049335863378,2754.7590132827327
32,32.0,572,570,0,2,20,550,0,290,10,1489536,2604.083916083916,0.0017365697884615366,0.006031734238627225,2,2,24,23,0.023266578731959656,0.023266578731959656,0.03496503496503497,0.9965034965034965,2604.083916083916
33,33.0,581,579,0,2,22,556,0,293,12,1499338,2580.6161790017213,0.0017296728020654104,0.006072636924716051,2,2,25,25,0.022960001469731962,0.022960001469731962,0.0378657487091222,0.9965576592082617,2580.6161790017213
34,34.0,574,572,0,2,20,554,2,289,8,1482524,2582.794425087108,0.0017489649216027876,0.006595902807849199,2,2,23,22,0.02319769347721051,0.02319769347721051,0.03484320557491289,0.9965156794425087,2582.794425087108
35,35.0,573,571,0,2,20,551,0,290,10,1489602,2599.6544502617803,0.0017573545095986045,0.006426119205782951,2,2,24,23,0.02323208132931595,0.02323208132931595,0.034904013961605584,0.9965095986038395,2599.6544502617803
36,36.0,578,576,0,2,22,554,0,292,11,1461712,2528.9134948096885,0.0017379959342560545,0.005763914375208465,2,2,25,25,0.023061226936894424,0.023061226936894424,0.03806228373702422,0.9965397923875432,2528.9134948096885
37,37.0,597,595,0,2,20,577,2,311,8,1493374,2501.463986599665,0.0016625830033500843,0.005536067634661839,2,2,24,22,0.022435822501540786,0.022435822501540786,0.03350083752093802,0.9966499162479062,2501.463986599665
38,38.0,520,518,0,2,18,498,0,264,11,1405808,2703.476923076923,0.0019015621788461509,0.006407881688197357,2,2,24,23,0.02522598493591129,0.02522598493591129,0.03461538461538462,0.9961538461538462,2703.476923076923
39,39.0,580,578,0,2,22,556,0,292,12,1442580,2487.206896551724,0.0017226456517241413,0.005807075767442543,2,2,24,24,0.022993637238889073,0.022993637238889073,0.03793103448275862,0.996551724137931,2487.206896551724
40,40.0,8836,8834,0,2,4212,4624,2,225,4215,1617376,183.0439112720688,0.00011549374751018507,0.00138111601162754,2,2,3969,3969,0.0021261496589458557,0.0021261496589458557,0.4766862833861476,0.9997736532367587,183.0439112720688
41,41.0,25974,25972,0,2,12986,12986,0,0,12986,1662444,64.004158004158,3.851477227227251e-05,0.00042640303089195615,2,2,9076,9076,0.0008063190582204927,0.0008063190582204927,0.49996149996149997,0.9999229999229999,64.004158004158
42,42.0,25784,25784,0,0,12892,12892,0,0,12892,1650176,64.0,3.878326706484626e-05,0.00030473400287625503,1,1,9117,9117,-1.000088900581841e-12,-1.000088900581841e-12,0.5,1.0,64.0
43,43.0,8438,8436,0,2,4218,4218,0,0,4218,540140,64.01279924152642,3.6793664849490774e-05,0.0001923246230672588,2,2,3991,3991,0.002215509571658341,0.002215509571658341,0.4998814885043849,0.9997629770087698,64.01279924152642
44,44.0,2,0,0,2,0,0,0,0,0,236,118.0,0.3932480715000004,0.3932369904999966,1,1,0,0,-1.000088900581841e-12,-1.000088900581841e-12,0.0,0.0,118.0
45,45.0,4,2,0,2,1,1,0,0,1,364,91.0,0.3210452404999984,0.4195784658773416,2,2,2,2,0.6931471805579453,0.6931471805579453,0.25,0.5,91.0
46,46.0,2,0,0,2,0,0,0,0,0,236,118.0,0.3820313894999998,0.382022091500005,1,1,0,0,-1.000088900581841e-12,-1.000088900581841e-12,0.0,0.0,118.0
47,47.0,2,0,0,2,0,0,0,0,0,236,118.0,0.5121824860000004,0.5121677980000001,1,1,0,0,-1.000088900581841e-12,-1.000088900581841e-12,0.0,0.0,118.0
48,48.0,2,0,0,2,0,0,0,0,0,236,118.0,0.5115282900000011,0.5115178799999995,1,1,0,0,-1.000088900581841e-12,-1.000088900581841e-12,0.0,0.0,118.0
49,49.0,2,0,0,2,0,0,0,0,0,236,118.0,0.5117797875000001,0.5117691274999991,1,1,0,0,-1.000088900581841e-12,-1.000088900581841e-12,0.0,0.0,118.0
50,50.0,2,0,0,2,0,0,0,0,0,236,118.0,0.5124456654999996,0.5124366784999985,1,1,0,0,-1.000088900581841e-12,-1.000088900581841e-12,0.0,0.0,118.0
51,51.0,2,0,0,2,0,0,0,0,0,236,118.0,0.5115832375000018,0.5115716255000002,1,1,0,0,-1.000088900581841e-12,-1.000088900581841e-12,0.0,0.0,118.0
